Country,Time,Price Index
Canada,19-Dec,138
Canada,20-Jan,137.1
Canada,20-Feb,130.8
Canada,20-Mar,120.5
Canada,20-Apr,106.3
Canada,20-May,108.3
Canada,20-Jun,123.2
Canada,20-Jul,127.3
Canada,20-Aug,133.7
Canada,20-Sep,133.5
Canada,20-Oct,133.3
Canada,20-Nov,132.9
Canada,20-Dec,138.2
Canada,21-Jan,145.6
Canada,21-Feb,151.1
Canada,21-Mar,158.2
Canada,21-Apr,161
Canada,21-May,168.6
Canada,21-Jun,174.4
Canada,21-Jul,172
Canada,21-Aug,166.3
Canada,21-Sep,165.8
Canada,21-Oct,175.4
Canada,21-Nov,178.9
Canada,21-Dec,173.5
Canada,22-Jan,184.6
Canada,22-Feb,193.2
Canada,22-Mar,207.4
Mexico,19-Dec,126
Mexico,20-Jan,125.9
Mexico,20-Feb,125.7
Mexico,20-Mar,124.9
Mexico,20-Apr,123.9
Mexico,20-May,125.7
Mexico,20-Jun,126.8
Mexico,20-Jul,127.2
Mexico,20-Aug,128.5
Mexico,20-Sep,128.5
Mexico,20-Oct,128.2
Mexico,20-Nov,127
Mexico,20-Dec,127.2
Mexico,21-Jan,128.2
Mexico,21-Feb,129.2
Mexico,21-Mar,130.4
Mexico,21-Apr,131.9
Mexico,21-May,131.7
Mexico,21-Jun,132.5
Mexico,21-Jul,132.8
Mexico,21-Aug,133.8
Mexico,21-Sep,134.9
Mexico,21-Oct,136.1
Mexico,21-Nov,136.7
Mexico,21-Dec,135.7
Mexico,22-Jan,138.6
Mexico,22-Feb,140
Mexico,22-Mar,141.6
China,19-Dec,98.2
China,20-Jan,98.2
China,20-Feb,98
China,20-Mar,98
China,20-Apr,98.1
China,20-May,98
China,20-Jun,98
China,20-Jul,98.2
China,20-Aug,98.3
China,20-Sep,98.3
China,20-Oct,98.2
China,20-Nov,98.3
China,20-Dec,98.7
China,21-Jan,99.1
China,21-Feb,99.4
China,21-Mar,99.8
China,21-Apr,100.2
China,21-May,100.6
China,21-Jun,101
China,21-Jul,101.7
China,21-Aug,102
China,21-Sep,102.2
China,21-Oct,102.5
China,21-Nov,102.7
China,21-Dec,103.4
China,22-Jan,103.9
China,22-Feb,104.1
China,22-Mar,104.6
Japan,19-Dec,96.8
Japan,20-Jan,96.9
Japan,20-Feb,96.9
Japan,20-Mar,96.9
Japan,20-Apr,96.7
Japan,20-May,96.4
Japan,20-Jun,96.7
Japan,20-Jul,96.6
Japan,20-Aug,96.6
Japan,20-Sep,96.7
Japan,20-Oct,97
Japan,20-Nov,97
Japan,20-Dec,97.2
Japan,21-Jan,97.5
Japan,21-Feb,97.6
Japan,21-Mar,97.8
Japan,21-Apr,98.3
Japan,21-May,98.4
Japan,21-Jun,98.5
Japan,21-Jul,98.8
Japan,21-Aug,98.9
Japan,21-Sep,98.9
Japan,21-Oct,98.9
Japan,21-Nov,99
Japan,21-Dec,99
Japan,22-Jan,99.1
Japan,22-Feb,99.2
Japan,22-Mar,99.6